,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress
20,Japan,2019-03-30,28,0,14,0,0,41,0,0,0,15,5,39,0,21,0,,54.4105754276829,0,33.0314465408805,0,0,83.7438914027148,0,0,0,30.7349665924275,14.1071428571429,82.2978287587053,0,,41,0,20,0,0,68,0,0,0,75,56,54,0
21,Japan,2019-03-31,28,0,14,0,0,21,0,0,0,5,0,24,5,22,0,,54.4105754276829,0,33.0314465408805,0,0,42.8932126696832,0,0,0,10.2449888641425,0,50.6448176976648,10.6376360808709,,41,0,20,0,0,35,0,0,0,25,0,33,10
22,Japan,2019-04-01,13,0,13,0,0,0,0,0,0,0,5,37,23,23,0,,25.2620528771385,0,30.6720575022462,0,0,0,0,0,0,0,14.1071428571429,78.0774272838999,48.9331259720061,,19,0,19,0,0,0,0,0,0,0,56,51,48
23,Japan,2019-04-02,27,0,54,0,0,20,0,0,5,14,0,24,9,24,0,,52.4673405909799,0,127.407008086253,0,0,40.8506787330316,0,0,14.7014925373135,28.685968819599,0,50.6448176976648,19.1477449455676,,39,0,77,0,0,33,0,0,56,70,0,33,19
24,Japan,2019-04-03,41,0,41,0,0,20,0,0,0,5,5,33,0,25,0,,79.6726283048214,0,96.7349505840071,0,0,40.8506787330316,0,0,0,10.2449888641425,14.1071428571429,69.6366243342891,0,,59,0,59,0,0,33,0,0,0,25,56,46,0
25,Japan,2019-04-04,40,0,27,0,0,40,0,0,5,9,0,42,19,26,0,,77.7293934681184,0,63.7035040431266,0,0,81.7013574660632,0,0,14.7014925373135,18.4409799554565,0,88.6284309709134,40.4230171073094,,58,0,39,0,0,67,0,0,56,45,0,58,40
26,Japan,2019-04-05,27,0,27,0,0,20,0,0,0,9,5,38,5,27,0,,52.4673405909799,0,63.7035040431266,0,0,40.8506787330316,0,0,0,18.4409799554565,14.1071428571429,80.1876280213026,10.6376360808709,,39,0,39,0,0,33,0,0,0,45,56,53,10
27,Japan,2019-04-06,14,0,42,0,0,0,0,0,0,0,0,34,5,28,0,,27.2052877138414,0,99.0943396226414,0,0,0,0,0,0,0,0,71.7468250716918,10.6376360808709,,20,0,60,0,0,0,0,0,0,0,0,47,10
28,Japan,2019-04-07,27,0,0,0,0,40,0,0,0,5,5,38,5,29,0,,52.4673405909799,0,0,0,0,81.7013574660632,0,0,0,10.2449888641425,14.1071428571429,80.1876280213026,10.6376360808709,,39,0,0,0,0,67,0,0,0,25,56,53,10
29,Japan,2019-04-08,0,0,0,0,0,0,0,0,5,14,0,46,5,30,0,,0,0,0,0,0,0,0,0,14.7014925373135,28.685968819599,0,97.0692339205242,10.6376360808709,,0,0,0,0,0,0,0,0,56,70,0,64,10
30,Japan,2019-04-09,0,0,0,0,0,19,38,0,4,4,0,63,18,31,0,,0,0,0,0,0,38.80814479638,94.3666666666669,0,11.7611940298508,8.195991091314,0,132.94264645637,38.2954898911352,,0,0,0,0,0,32,93,0,44,20,0,88,37
31,Japan,2019-04-10,14,0,0,0,0,60,0,0,0,5,5,62,10,32,0,,27.2052877138414,0,0,0,0,122.552036199095,0,0,0,10.2449888641425,14.1071428571429,130.832445718967,21.2752721617418,,20,0,0,0,0,100,0,0,0,25,56,86,21
32,Japan,2019-04-11,14,0,28,0,0,21,0,0,0,20,5,39,10,33,0,,27.2052877138414,0,66.062893081761,0,0,42.8932126696832,0,0,0,40.97995545657,14.1071428571429,82.2978287587053,21.2752721617418,,20,0,40,0,0,35,0,0,0,100,56,54,21
33,Japan,2019-04-12,28,0,28,0,0,21,0,0,5,15,0,34,5,34,0,,54.4105754276829,0,66.062893081761,0,0,42.8932126696832,0,0,14.7014925373135,30.7349665924275,0,71.7468250716918,10.6376360808709,,41,0,40,0,0,35,0,0,56,75,0,47,10
34,Japan,2019-04-13,28,0,14,0,0,0,21,0,0,0,0,30,15,35,0,,54.4105754276829,0,33.0314465408805,0,0,0,52.1500000000001,0,0,0,0,63.306022122081,31.9129082426127,,41,0,20,0,0,0,51,0,0,0,0,42,31
35,Japan,2019-04-14,27,0,0,0,0,20,0,0,0,14,0,42,0,36,0,,52.4673405909799,0,0,0,0,40.8506787330316,0,0,0,28.685968819599,0,88.6284309709134,0,,39,0,0,0,0,33,0,0,0,70,0,58,0
36,Japan,2019-04-15,28,0,27,0,0,20,41,0,0,10,0,62,19,37,0,,54.4105754276829,0,63.7035040431266,0,0,40.8506787330316,101.816666666667,0,0,20.489977728285,0,130.832445718967,40.4230171073094,,41,0,39,0,0,33,100,0,0,50,0,86,40
37,Japan,2019-04-16,69,0,28,0,0,20,0,0,0,5,0,63,10,38,0,,134.083203732504,0,66.062893081761,0,0,40.8506787330316,0,0,0,10.2449888641425,0,132.94264645637,21.2752721617418,,100,0,40,0,0,33,0,0,0,25,0,88,21
38,Japan,2019-04-17,14,0,27,0,0,41,0,0,5,14,0,72,48,39,0,,27.2052877138414,0,63.7035040431266,0,0,83.7438914027148,0,0,14.7014925373135,28.685968819599,0,151.934453092994,102.121306376361,,20,0,39,0,0,68,0,0,56,70,0,100,100
39,Japan,2019-04-18,14,0,0,14,0,40,20,0,0,10,5,67,14,40,0,,27.2052877138414,0,0,117,0,81.7013574660632,49.6666666666668,0,0,20.489977728285,14.1071428571429,141.383449405981,29.7853810264385,,20,0,0,100,0,67,49,0,0,50,56,93,29
40,Japan,2019-04-19,28,0,14,0,0,0,20,0,0,15,5,39,10,41,0,,54.4105754276829,0,33.0314465408805,0,0,0,49.6666666666668,0,0,30.7349665924275,14.1071428571429,82.2978287587053,21.2752721617418,,41,0,20,0,0,0,49,0,0,75,56,54,21
41,Japan,2019-04-20,28,0,0,0,0,0,0,0,0,10,0,44,10,42,0,,54.4105754276829,0,0,0,0,0,0,0,0,20.489977728285,0,92.8488324457188,21.2752721617418,,41,0,0,0,0,0,0,0,0,50,0,61,21
42,Japan,2019-04-21,26,0,26,0,0,59,0,0,0,0,0,32,9,43,0,,50.524105754277,0,61.3441150044923,0,0,120.509502262443,0,0,0,0,0,67.5264235968864,19.1477449455676,,38,0,37,0,0,98,0,0,0,0,0,44,19
43,Japan,2019-04-22,41,0,27,0,14,0,20,0,0,14,0,38,29,44,0,,79.6726283048214,0,63.7035040431266,0,37.9999999999999,0,49.6666666666668,0,0,28.685968819599,0,80.1876280213026,61.6982892690512,,59,0,39,0,100,0,49,0,0,70,0,53,60
44,Japan,2019-04-23,0,0,40,0,0,40,0,0,0,9,0,47,9,45,0,,0,0,94.3755615453728,0,0,81.7013574660632,0,0,0,18.4409799554565,0,99.1794346579269,19.1477449455676,,0,0,57,0,0,67,0,0,0,45,0,65,19
